stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
55241,55241,Racette / d'Amiens,45.596439,-73.622665,https://www.stm.info/fr/recherche#stq=55241,0,,1
55242,55242,de Castille / Edger,45.598812,-73.622121,https://www.stm.info/fr/recherche#stq=55242,0,,1
55243,55243,Langelier / Villeneuve,45.622900,-73.621105,https://www.stm.info/fr/recherche#stq=55243,0,,1
55244,55244,Maurice-Duplessis / P.-M.-Favier,45.614154,-73.620440,https://www.stm.info/fr/recherche#stq=55244,0,,1
55245,55245,CLSC de Montréal-Nord,45.607310,-73.620491,https://www.stm.info/fr/recherche#stq=55245,0,,1
55246,55246,Industriel / Racette,45.594830,-73.620828,https://www.stm.info/fr/recherche#stq=55246,0,,1
55247,55247,Industriel / Racette,45.594754,-73.620699,https://www.stm.info/fr/recherche#stq=55247,0,,2
55248,55248,de Castille / Louis-Fréchette,45.600067,-73.620624,https://www.stm.info/fr/recherche#stq=55248,0,,1
55249,55249,de Castille / Louis-Fréchette,45.599717,-73.620790,https://www.stm.info/fr/recherche#stq=55249,0,,1
55250,55250,Jean-Meunier / de Charleroi,45.602302,-73.620202,https://www.stm.info/fr/recherche#stq=55250,0,,1
55251,55251,Jean-Meunier / de Charleroi,45.602478,-73.620588,https://www.stm.info/fr/recherche#stq=55251,0,,1
55252,55252,Jean-Meunier / de Charleroi,45.602714,-73.620641,https://www.stm.info/fr/recherche#stq=55252,0,,1
55253,55253,Jean-Meunier / Louis-Francoeur,45.602028,-73.620111,https://www.stm.info/fr/recherche#stq=55253,0,,1
55254,55254,Lacordaire / Henri-Bourassa,45.606376,-73.619429,https://www.stm.info/fr/recherche#stq=55254,0,,1
55255,55255,Henri-Bourassa / Lacordaire,45.606848,-73.619836,https://www.stm.info/fr/recherche#stq=55255,0,,1
55256,55256,Lacordaire / Henri-Bourassa,45.606894,-73.620394,https://www.stm.info/fr/recherche#stq=55256,0,,1
55257,55257,Henri-Bourassa / Lacordaire,45.606293,-73.620735,https://www.stm.info/fr/recherche#stq=55257,0,,1
55258,55258,Lacordaire / Henri-Bourassa,45.606293,-73.619765,https://www.stm.info/fr/recherche#stq=55258,0,,1
55259,55259,Léger / Albert-Hudon,45.624944,-73.618737,https://www.stm.info/fr/recherche#stq=55259,0,,1
55260,55260,Léger / Albert-Hudon,45.624636,-73.619846,https://www.stm.info/fr/recherche#stq=55260,0,,1
55261,55261,Maurice-Duplessis / Rolland,45.615084,-73.618927,https://www.stm.info/fr/recherche#stq=55261,0,,1
55262,55262,Rolland / Maurice-Duplessis,45.615140,-73.619305,https://www.stm.info/fr/recherche#stq=55262,0,,1
55263,55263,Maurice-Duplessis / Rolland,45.614814,-73.619176,https://www.stm.info/fr/recherche#stq=55263,0,,1
55264,55264,Rolland / Maurice-Duplessis,45.614882,-73.618854,https://www.stm.info/fr/recherche#stq=55264,0,,2
55265,55265,Jean-Meunier / de Castille,45.601342,-73.619396,https://www.stm.info/fr/recherche#stq=55265,0,,1
55266,55266,Jean-Meunier / Louis-Francoeur,45.601596,-73.619460,https://www.stm.info/fr/recherche#stq=55266,0,,1
55267,55267,Industriel / Salk,45.597619,-73.619062,https://www.stm.info/fr/recherche#stq=55267,0,,2
55268,55268,Industriel / Salk,45.597358,-73.618997,https://www.stm.info/fr/recherche#stq=55268,0,,2
55269,55269,Lacordaire / d'Amos,45.605601,-73.618594,https://www.stm.info/fr/recherche#stq=55269,0,,1
55270,55270,Lacordaire / d'Amos,45.605657,-73.619100,https://www.stm.info/fr/recherche#stq=55270,0,,1
55271,55271,Amos / Lacordaire,45.605444,-73.619355,https://www.stm.info/fr/recherche#stq=55271,0,,1
55272,55272,Langelier / Arthur-Chevrier,45.619882,-73.617546,https://www.stm.info/fr/recherche#stq=55272,0,,1
55273,55273,Langelier / Arthur-Chevrier,45.619943,-73.617987,https://www.stm.info/fr/recherche#stq=55273,0,,1
55274,55274,Industriel / Cantin,45.599087,-73.618308,https://www.stm.info/fr/recherche#stq=55274,0,,2
55275,55275,Jean-Meunier / Industriel,45.600240,-73.618236,https://www.stm.info/fr/recherche#stq=55275,0,,1
55276,55276,Maurice-Duplessis / Lapierre,45.615855,-73.617441,https://www.stm.info/fr/recherche#stq=55276,0,,1
55277,55277,Henri-Bourassa / Désy,45.607692,-73.617327,https://www.stm.info/fr/recherche#stq=55277,0,,1
55278,55278,Henri-Bourassa / Désy,45.607374,-73.617516,https://www.stm.info/fr/recherche#stq=55278,0,,1
55279,55279,Lacordaire / de Charleroi,45.604157,-73.617473,https://www.stm.info/fr/recherche#stq=55279,0,,1
55280,55280,Lacordaire / de Charleroi,45.604570,-73.617505,https://www.stm.info/fr/recherche#stq=55280,0,,1
55281,55281,Maurice-Duplessis / Matte,45.616084,-73.616732,https://www.stm.info/fr/recherche#stq=55281,0,,1
55282,55282,Maurice-Duplessis / Monty,45.616661,-73.615904,https://www.stm.info/fr/recherche#stq=55282,0,,1
55283,55283,Lacordaire / Industriel,45.603131,-73.615974,https://www.stm.info/fr/recherche#stq=55283,0,,1
55284,55284,Lacordaire / Industriel,45.603210,-73.616470,https://www.stm.info/fr/recherche#stq=55284,0,,1
55285,55285,Langelier / Maurice-Duplessis,45.616942,-73.614436,https://www.stm.info/fr/recherche#stq=55285,0,,1
55286,55286,Maurice-Duplessis / Langelier,45.617647,-73.614112,https://www.stm.info/fr/recherche#stq=55286,0,,1
55287,55287,Langelier / Maurice-Duplessis,45.617225,-73.615113,https://www.stm.info/fr/recherche#stq=55287,0,,1
55288,55288,Maurice-Duplessis / Langelier,45.616888,-73.615098,https://www.stm.info/fr/recherche#stq=55288,0,,1
55289,55289,Langelier / Bonneville,45.616550,-73.614021,https://www.stm.info/fr/recherche#stq=55289,0,,1
55290,55290,Maurice-Duplessis / Albert-Hudon,45.618573,-73.612330,https://www.stm.info/fr/recherche#stq=55290,0,,1
55291,55291,Maurice-Duplessis / Albert-Hudon,45.617928,-73.613073,https://www.stm.info/fr/recherche#stq=55291,0,,1
55292,55292,Henri-Bourassa / Rolland,45.609244,-73.612707,https://www.stm.info/fr/recherche#stq=55292,0,,1
55293,55293,Rolland / Henri-Bourassa,45.609350,-73.613107,https://www.stm.info/fr/recherche#stq=55293,0,,1
55294,55294,Henri-Bourassa / Rolland,45.608920,-73.612902,https://www.stm.info/fr/recherche#stq=55294,0,,1
55295,55295,Rolland / Henri-Bourassa,45.609399,-73.612983,https://www.stm.info/fr/recherche#stq=55295,0,,2
55296,55296,Langelier / Marie-Victorin,45.614506,-73.611841,https://www.stm.info/fr/recherche#stq=55296,0,,1
55297,55297,Marie-Victorin / Langelier,45.614712,-73.611870,https://www.stm.info/fr/recherche#stq=55297,0,,1
55298,55298,Langelier / Marie-Victorin,45.614571,-73.612286,https://www.stm.info/fr/recherche#stq=55298,0,,1
55300,55300,Henri-Bourassa / Valade,45.609657,-73.611468,https://www.stm.info/fr/recherche#stq=55300,0,,1
55301,55301,Henri-Bourassa / Valade,45.609395,-73.611511,https://www.stm.info/fr/recherche#stq=55301,0,,1
55302,55302,Langelier / Dijon,45.613484,-73.610750,https://www.stm.info/fr/recherche#stq=55302,0,,1
55303,55303,Langelier / Dijon,45.613522,-73.611174,https://www.stm.info/fr/recherche#stq=55303,0,,1
55304,55304,Langelier / Henri-Bourassa,45.610877,-73.608293,https://www.stm.info/fr/recherche#stq=55304,0,,1
55306,55306,Langelier / Renoir,45.611169,-73.608281,https://www.stm.info/fr/recherche#stq=55306,0,,1
55308,55308,Albert-Hudon / Henri-Bourassa,45.613373,-73.606998,https://www.stm.info/fr/recherche#stq=55308,0,,1
55309,55309,Pie-IX / Larin,45.585271,-73.631594,https://www.stm.info/fr/recherche#stq=55309,0,,1
55310,55310,Dagenais / Langelier,45.622156,-73.620448,https://www.stm.info/fr/recherche#stq=55310,0,,1
55311,55311,Gouin / No 6750,45.627068,-73.622060,https://www.stm.info/fr/recherche#stq=55311,0,,1
55312,55312,Henri-Bourassa / No 6475,45.610185,-73.609833,https://www.stm.info/fr/recherche#stq=55312,0,,1
55313,55313,Gouin / No 6755,45.627301,-73.621911,https://www.stm.info/fr/recherche#stq=55313,0,,1
55314,55314,Gouin / No 6885,45.628566,-73.620299,https://www.stm.info/fr/recherche#stq=55314,0,,1
